CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,ASH2L,ENCFF154OIS,ENCFF917CXD,11.11,20.32,0.00049,0.00972,0.93,s3://chipmunk-encode-models/GM12878_ASH2L_ENCFF154OIS_ENCFF917CXD-1.9.json
GM12878,ASH2L,ENCFF558XZK,ENCFF917CXD,10.82,20.23,0.00048,0.01038,0.89,s3://chipmunk-encode-models/GM12878_ASH2L_ENCFF558XZK_ENCFF917CXD-1.9.json
GM12878,ATF2,ENCFF868WFT,ENCFF609KOY,8.37,22.40,0.00178,0.06739,0.93,s3://chipmunk-encode-models/GM12878_ATF2_ENCFF868WFT_ENCFF609KOY-1.9.json
GM12878,ATF2,ENCFF870CUX,ENCFF609KOY,8.80,20.85,0.00178,0.08561,0.94,s3://chipmunk-encode-models/GM12878_ATF2_ENCFF870CUX_ENCFF609KOY-1.9.json
GM12878,ATF3,ENCFF061SMS,ENCFF002CGP,20.74,9.72,0.00003,0.00834,0.72,s3://chipmunk-encode-models/GM12878_ATF3_ENCFF061SMS_ENCFF002CGP-1.9.json
GM12878,ATF3,ENCFF795RHE,ENCFF002CGP,20.79,9.59,0.00003,0.00642,0.88,s3://chipmunk-encode-models/GM12878_ATF3_ENCFF795RHE_ENCFF002CGP-1.9.json
GM12878,BACH1,ENCFF518TTP,ENCFF012JXJ,19.17,9.95,0.00097,0.06385,0.89,s3://chipmunk-encode-models/GM12878_BACH1_ENCFF518TTP_ENCFF012JXJ-1.9.json
GM12878,BACH1,ENCFF518TTP,ENCFF012JXJ,23.91,7.68,0.00097,0.06332,0.89,s3://chipmunk-encode-models/GM12878_BACH1_ENCFF518TTP_ENCFF012JXJ.paired-1.9.json
GM12878,BACH1,ENCFF650SPH,ENCFF012JXJ,13.73,14.50,0.00099,0.04379,0.86,s3://chipmunk-encode-models/GM12878_BACH1_ENCFF650SPH_ENCFF012JXJ-1.9.json
GM12878,BACH1,ENCFF650SPH,ENCFF012JXJ,26.84,7.98,0.00098,0.04468,0.86,s3://chipmunk-encode-models/GM12878_BACH1_ENCFF650SPH_ENCFF012JXJ.paired-1.9.json
GM12878,BATF,ENCFF137FZZ,ENCFF593FBF,20.99,9.13,0.00109,0.08043,0.94,s3://chipmunk-encode-models/GM12878_BATF_ENCFF137FZZ_ENCFF593FBF-1.9.json
GM12878,BATF,ENCFF346GCD,ENCFF593FBF,20.92,9.28,0.00109,0.15370,0.94,s3://chipmunk-encode-models/GM12878_BATF_ENCFF346GCD_ENCFF593FBF-1.9.json
GM12878,BCL11A,ENCFF264DVB,ENCFF468MFY,20.99,9.14,0.00066,0.05632,0.96,s3://chipmunk-encode-models/GM12878_BCL11A_ENCFF264DVB_ENCFF468MFY-1.9.json
GM12878,BCL11A,ENCFF481NAE,ENCFF468MFY,21.04,9.01,0.00067,0.04856,0.93,s3://chipmunk-encode-models/GM12878_BCL11A_ENCFF481NAE_ENCFF468MFY-1.9.json
GM12878,BCL3,ENCFF462BJG,ENCFF625SHY,21.32,8.43,0.00086,0.06087,0.69,s3://chipmunk-encode-models/GM12878_BCL3_ENCFF462BJG_ENCFF625SHY-1.9.json
GM12878,BCL3,ENCFF511GDC,ENCFF625SHY,21.34,8.38,0.00087,0.03910,0.65,s3://chipmunk-encode-models/GM12878_BCL3_ENCFF511GDC_ENCFF625SHY-1.9.json
GM12878,BCLAF1,ENCFF662GDH,ENCFF563QBC,13.33,13.54,0.00111,0.05619,0.92,s3://chipmunk-encode-models/GM12878_BCLAF1_ENCFF662GDH_ENCFF563QBC-1.9.json
GM12878,BCLAF1,ENCFF671NSO,ENCFF015YHT,18.70,10.86,0.00011,0.00455,0.78,s3://chipmunk-encode-models/GM12878_BCLAF1_ENCFF671NSO_ENCFF015YHT.paired-1.9.json
GM12878,BCLAF1,ENCFF671NSO,ENCFF015YHT,20.68,9.88,0.00011,0.00456,0.78,s3://chipmunk-encode-models/GM12878_BCLAF1_ENCFF671NSO_ENCFF015YHT-1.9.json
GM12878,BCLAF1,ENCFF685HCB,ENCFF015YHT,20.19,9.81,0.00011,0.00538,0.84,s3://chipmunk-encode-models/GM12878_BCLAF1_ENCFF685HCB_ENCFF015YHT.paired-1.9.json
