Cell Type,TF/HM,Read Type,BAM URL,PEAKS_URL
K562 genetically modified using stable transfection,eGFP-IRF9,Paired,https://www.encodeproject.org/files/ENCFF652ZJJ/@@download/ENCFF652ZJJ.bam,https://www.encodeproject.org/files/ENCFF878TRQ/@@download/ENCFF878TRQ.bed.gz
K562 genetically modified using stable transfection,eGFP-IRF9,Paired,https://www.encodeproject.org/files/ENCFF572JRO/@@download/ENCFF572JRO.bam,https://www.encodeproject.org/files/ENCFF878TRQ/@@download/ENCFF878TRQ.bed.gz
K562,ESRRA,Paired,https://www.encodeproject.org/files/ENCFF132LVW/@@download/ENCFF132LVW.bam,https://www.encodeproject.org/files/ENCFF619KMH/@@download/ENCFF619KMH.bed.gz
K562,ESRRA,Paired,https://www.encodeproject.org/files/ENCFF558XOV/@@download/ENCFF558XOV.bam,https://www.encodeproject.org/files/ENCFF619KMH/@@download/ENCFF619KMH.bed.gz
GM12878,E4F1,Paired,https://www.encodeproject.org/files/ENCFF805VTA/@@download/ENCFF805VTA.bam,https://www.encodeproject.org/files/ENCFF054XUN/@@download/ENCFF054XUN.bed.gz
GM12878,E4F1,Paired,https://www.encodeproject.org/files/ENCFF225FNQ/@@download/ENCFF225FNQ.bam,https://www.encodeproject.org/files/ENCFF054XUN/@@download/ENCFF054XUN.bed.gz
K562,LEF1,Paired,https://www.encodeproject.org/files/ENCFF120BVV/@@download/ENCFF120BVV.bam,https://www.encodeproject.org/files/ENCFF804WBF/@@download/ENCFF804WBF.bed.gz
K562,LEF1,Paired,https://www.encodeproject.org/files/ENCFF890PMJ/@@download/ENCFF890PMJ.bam,https://www.encodeproject.org/files/ENCFF804WBF/@@download/ENCFF804WBF.bed.gz
K562,LEF1,Paired,https://www.encodeproject.org/files/ENCFF246TXB/@@download/ENCFF246TXB.bam,https://www.encodeproject.org/files/ENCFF804WBF/@@download/ENCFF804WBF.bed.gz
K562,LEF1,Paired,https://www.encodeproject.org/files/ENCFF928QMZ/@@download/ENCFF928QMZ.bam,https://www.encodeproject.org/files/ENCFF804WBF/@@download/ENCFF804WBF.bed.gz
K562,TRIM28,Paired,https://www.encodeproject.org/files/ENCFF506BXT/@@download/ENCFF506BXT.bam,https://www.encodeproject.org/files/ENCFF774YSI/@@download/ENCFF774YSI.bed.gz
K562,TRIM28,Paired,https://www.encodeproject.org/files/ENCFF367DJA/@@download/ENCFF367DJA.bam,https://www.encodeproject.org/files/ENCFF774YSI/@@download/ENCFF774YSI.bed.gz
K562,YBX1,Paired,https://www.encodeproject.org/files/ENCFF046DDP/@@download/ENCFF046DDP.bam,https://www.encodeproject.org/files/ENCFF669CKL/@@download/ENCFF669CKL.bed.gz
K562,YBX1,Paired,https://www.encodeproject.org/files/ENCFF509PRR/@@download/ENCFF509PRR.bam,https://www.encodeproject.org/files/ENCFF669CKL/@@download/ENCFF669CKL.bed.gz
K562,ZSCAN29,Paired,https://www.encodeproject.org/files/ENCFF875AHR/@@download/ENCFF875AHR.bam,https://www.encodeproject.org/files/ENCFF483NEI/@@download/ENCFF483NEI.bed.gz
K562,ZSCAN29,Paired,https://www.encodeproject.org/files/ENCFF361VCB/@@download/ENCFF361VCB.bam,https://www.encodeproject.org/files/ENCFF483NEI/@@download/ENCFF483NEI.bed.gz
K562,ZSCAN29,Paired,https://www.encodeproject.org/files/ENCFF949FMK/@@download/ENCFF949FMK.bam,https://www.encodeproject.org/files/ENCFF483NEI/@@download/ENCFF483NEI.bed.gz
K562,ZSCAN29,Paired,https://www.encodeproject.org/files/ENCFF607JKX/@@download/ENCFF607JKX.bam,https://www.encodeproject.org/files/ENCFF483NEI/@@download/ENCFF483NEI.bed.gz
K562,ZSCAN29,Paired,https://www.encodeproject.org/files/ENCFF098RVJ/@@download/ENCFF098RVJ.bam,https://www.encodeproject.org/files/ENCFF483NEI/@@download/ENCFF483NEI.bed.gz
K562,ZNF830,Paired,https://www.encodeproject.org/files/ENCFF481NOZ/@@download/ENCFF481NOZ.bam,https://www.encodeproject.org/files/ENCFF184LWN/@@download/ENCFF184LWN.bed.gz
